name,type,ra_hours,dec_degrees,magnitude,size_arcmin
NGC 390,*,1.131597,32.433111,,
NGC 391,G,1.122939,0.925944,14.33,0.98
NGC 392,G,1.139850,33.133611,12.71,1.36
NGC 393,G,1.143597,39.644306,12.54,1.64
NGC 394,G,1.140569,33.147972,13.83,0.64
NGC 395,OCl,1.085644,-71.990722,,1.50
NGC 396,G,1.135667,4.530861,,0.62
NGC 397,G,1.141972,33.109194,14.58,0.65
NGC 398,G,1.148242,32.514528,15.34,0.83
NGC 399,G,1.149778,32.634306,14.44,1.12
NGC 400,*,1.150692,32.732417,,
NGC 401,*,1.152144,32.759333,,
NGC 402,*,1.153711,32.806250,,
NGC 403,G,1.153933,32.752139,13.18,2.40
NGC 404,G,1.157506,35.718139,10.55,3.40
NGC 405,Other,1.142808,-46.668500,6.89,
NGC 406,G,1.123625,-69.879167,12.46,2.44
NGC 407,G,1.176822,33.126500,14.30,2.00
NGC 408,*,1.180858,33.151278,,
NGC 409,G,1.159228,-35.805611,14.08,1.36
NGC 410,G,1.183028,33.151889,11.48,2.37
NGC 411,OCl,1.132131,-71.768361,12.10,2.10
NGC 412,NonEx,1.172356,-20.015806,,
NGC 413,G,1.208722,-2.793417,15.06,1.05
NGC 414,GPair,1.188278,33.112778,,0.75
NGC 414 NED01,G,1.188189,33.113889,14.45,0.74
NGC 414 NED02,G,1.188319,33.112250,,0.45
NGC 415,G,1.168247,-35.490778,14.30,1.57
NGC 416,GCl,1.132917,-72.355056,11.76,1.70
NGC 417,G,1.184878,-18.148333,15.29,1.08
NGC 418,G,1.176561,-30.221278,12.58,1.98
NGC 419,GCl,1.138103,-72.883500,10.50,2.80
NGC 420,G,1.202681,32.123167,13.36,1.38
NGC 421,Other,1.204017,32.123500,,
NGC 422,OCl,1.157053,-71.767222,13.26,1.00
NGC 423,G,1.189503,-29.234528,14.39,0.90
NGC 424,G,1.191008,-38.083472,14.12,1.66
NGC 425,G,1.217378,38.768361,13.46,0.89
NGC 426,G,1.213503,-0.290194,12.89,1.20
NGC 427,G,1.205344,-32.061167,15.10,1.10
NGC 428,G,1.215475,0.981556,11.47,2.82
NGC 429,G,1.215950,-0.345000,14.45,1.51
NGC 430,G,1.216647,-0.252500,12.53,1.18
NGC 431,G,1.234594,33.704194,13.96,1.16
NGC 432,G,1.196183,-61.527639,14.12,1.32
NGC 433,OCl,1.252572,60.125778,,3.60
NGC 434,G,1.203925,-58.247972,12.04,2.24
NGC 434 A,G,1.208228,-58.209500,15.61,1.19
NGC 435,G,1.233292,2.071444,14.94,1.10
NGC 436,OCl,1.266050,58.817111,8.80,5.70
NGC 437,G,1.239525,5.926889,13.91,1.73
NGC 438,G,1.226156,-37.901639,13.61,1.35
NGC 439,G,1.229794,-31.747139,12.89,3.38
NGC 440,G,1.213472,-58.282278,13.18,1.06
NGC 441,G,1.230906,-31.788333,13.77,1.51
NGC 442,G,1.244069,-1.020639,14.35,1.16
NGC 443,G,1.252108,33.377333,14.25,0.82
NGC 444,G,1.263778,31.080250,14.24,1.57
NGC 445,G,1.247911,1.917444,15.45,0.79
NGC 446,G,1.267669,4.294111,13.50,2.06
NGC 447,G,1.260453,33.067722,13.94,2.21
NGC 448,G,1.254589,-1.626194,13.25,1.60
NGC 449,G,1.268681,33.089556,14.57,0.68
NGC 450,G,1.258456,-0.860972,12.79,2.94
NGC 451,G,1.270111,33.064111,14.76,0.69
NGC 452,G,1.270786,31.033833,12.59,1.99
NGC 453,Other,1.271506,33.014167,,
NGC 454,GPair,1.239592,-55.398694,,2.00
NGC 454 NED01,G,1.239392,-55.401417,13.58,1.64
NGC 454 NED02,G,1.240258,-55.397083,13.58,1.93
NGC 455,G,1.266011,5.178694,13.85,2.58
NGC 456,OCl,1.228994,-73.290528,,3.80
NGC 457,OCl,1.325736,58.290694,6.40,7.80
NGC 458,OCl,1.248186,-71.552694,11.66,2.60
NGC 459,G,1.302275,17.562389,15.69,0.58
NGC 460,Cl+N,1.244056,-73.274194,,2.60
NGC 461,G,1.289067,-33.840889,14.08,1.21
NGC 462,G,1.303053,4.226000,15.74,0.48
NGC 463,G,1.316181,16.325750,15.14,1.04
NGC 465,OCl,1.261486,-73.334611,,5.00
NGC 466,G,1.287017,-58.909944,13.59,1.61
NGC 467,G,1.319481,3.300833,12.10,1.66
NGC 468,G,1.330139,32.767778,15.20,0.85
NGC 469,G,1.325819,14.871944,15.23,0.81
NGC 470,G,1.329125,3.409944,11.79,2.86
NGC 471,G,1.333219,14.786222,13.32,1.06
NGC 472,G,1.341303,32.709028,14.16,0.90
NGC 473,G,1.331964,16.544694,12.50,1.77
NGC 474,G,1.335192,3.415389,11.52,2.65
NGC 475,G,1.333889,14.861056,15.97,0.81
NGC 476,G,1.338861,16.020139,15.17,0.84
NGC 477,G,1.355658,40.488194,13.91,1.55
NGC 478,G,1.335914,-22.377389,14.62,0.84
NGC 479,G,1.354369,3.862278,15.06,0.91
NGC 480,G,1.342886,-9.880222,16.05,0.58
NGC 481,G,1.353475,-9.211222,14.65,1.46
NGC 482,G,1.339006,-40.966111,14.47,2.06
NGC 483,G,1.365639,33.520972,13.96,0.87
NGC 484,G,1.326314,-58.524306,12.23,1.80
NGC 485,G,1.357667,7.018083,13.25,1.64
NGC 486,G,1.361956,5.346306,17.48,0.36
NGC 487,G,1.365303,-16.370361,14.41,1.09
NGC 488,G,1.363014,5.256722,10.26,5.05
NGC 489,G,1.364972,9.206556,13.43,1.55
NGC 490,G,1.367464,5.367194,14.48,0.66
NGC 491,G,1.355675,-34.063278,12.55,1.35
NGC 491 A,G,1.334631,-33.899500,13.80,1.88
NGC 492,G,1.370433,5.417056,15.46,0.67
NGC 493,G,1.369164,0.945361,12.48,3.01
NGC 494,G,1.382056,33.173889,12.85,1.86
NGC 495,G,1.382222,33.471667,13.68,1.09
