name,type,ra_hours,dec_degrees,magnitude,size_arcmin
IC 232,G,2.519894,1.265639,14.30,1.10
IC 233,G,2.527972,2.809917,15.53,0.33
IC 234,G,2.527144,-0.140250,15.22,0.69
IC 235,G,2.547442,20.641250,14.35,0.39
IC 236,G,2.548836,-0.131250,15.97,0.74
IC 237,G,2.558769,1.139889,14.71,0.54
IC 238,G,2.589633,12.837722,14.02,1.38
IC 239,G,2.607744,38.969917,11.20,4.25
IC 240,Other,2.649603,41.719417,,
IC 241,G,2.631806,2.328028,14.48,0.90
IC 243,G,2.642267,-6.902139,15.46,1.22
IC 244,G,2.656869,2.728806,15.26,0.70
IC 245,G,2.648511,-14.305556,15.00,1.11
IC 246,G,2.674611,2.478639,15.39,0.69
IC 247,G,2.669106,-11.733778,14.74,0.88
IC 248,G,2.690508,17.812222,14.35,0.99
IC 249,Dup,2.684025,-6.935917,,
IC 250,G,2.681742,-13.313556,15.05,0.91
IC 251,G,2.687181,-14.957833,15.00,0.84
IC 252,G,2.695869,-14.848250,15.35,1.01
IC 253,G,2.701597,-15.046833,14.87,0.95
IC 254,G,2.701383,-15.106639,14.91,0.26
IC 255,G,2.784225,16.288028,15.68,0.59
IC 256,G,2.827861,46.954667,14.31,0.46
IC 257,G,2.829289,46.976194,12.68,1.93
IC 258,G,2.829472,41.051667,15.52,1.48
IC 259,G,2.828022,41.055111,15.38,0.69
IC 260,G,2.850244,46.954778,15.12,1.53
IC 261,Dup,2.817803,-14.470694,,
IC 262,G,2.862019,42.828278,14.69,2.10
IC 263,G,2.827767,-0.069861,14.72,0.65
IC 264,G,2.813228,-0.109194,16.88,0.50
IC 265,G,2.912217,41.655333,15.49,0.71
IC 266,G,2.918008,42.262333,15.65,0.74
IC 267,G,2.897292,12.849222,13.09,1.86
IC 268,G,2.924153,-14.103000,15.31,0.97
IC 269,G,2.924025,-14.066806,15.34,1.19
IC 270,G,2.928942,-14.207889,14.14,1.80
IC 271,G,2.933181,-12.007861,14.70,1.06
IC 272,G,2.935122,-14.186639,14.86,0.96
IC 273,G,2.952994,2.775056,14.32,1.49
IC 274,Other,3.001453,44.213167,,
IC 275,GTrpl,3.015917,44.348333,,1.00
IC 275 NED01,G,3.015519,44.346306,,0.32
IC 275 NED02,G,3.015528,44.350361,14.44,1.38
IC 275 NED03,G,3.016297,44.350167,16.56,0.30
IC 276,G,2.978072,-15.703111,13.97,1.67
IC 277,G,2.997389,2.771361,13.12,1.00
IC 278,G,3.025122,37.766000,14.69,2.17
IC 279,G,3.020058,16.209222,15.19,0.54
IC 280,Other,3.051003,42.359306,,
IC 281,Dup,3.076981,42.362833,,
IC 282,Dup,3.103678,41.848944,,
IC 283,G,3.064017,-0.204444,17.93,0.71
IC 284,G,3.102753,42.371917,11.59,4.29
IC 285,G,3.068394,-12.015444,15.02,1.45
IC 286,Other,3.079783,-6.484528,,
IC 287,G,3.082728,-12.070444,15.36,0.81
